Catchment,Site,Distance
Bannister Creek,6160693,3.6708
Bannister Creek,6164255,3.1452
Bannister Creek,6162979,3.1371
Bannister Creek,6162381,2.5007
Bannister Creek,6162382,2.3631
Bannister Creek,6162980,2.3345
Bannister Creek,6162981,2.1624
Bannister Creek,6162982,1.8361
Bannister Creek,616091,0.8482
Bayswater Main Drain,6162431,5.1339
Bayswater Main Drain,6162421,4.8553
Bayswater Main Drain,6162430,4.7309
Bayswater Main Drain,616056,4.6529
Bayswater Main Drain,6162420,3.9208
Bayswater Main Drain,6162427,3.8806
Bayswater Main Drain,6162429,3.8756
Bayswater Main Drain,6162426,3.7988
Bayswater Main Drain,6162432,3.6639
Bayswater Main Drain,6162425,3.6054
Bayswater Main Drain,6164230,3.5347
Bayswater Main Drain,6162418,3.0558
Bayswater Main Drain,6162417,2.9744
Bayswater Main Drain,6162419,2.8782
Bayswater Main Drain,6162424,2.4001
Bayswater Main Drain,6162423,2.1762
Bayswater Main Drain,6162422,2.0874
Bayswater Main Drain,6162416,1.6894
Bayswater Main Drain,6162415,1.6308
Bayswater Main Drain,6164231,1.5418
Bayswater Main Drain,6162414,1.1326
Bayswater Main Drain,6162413,1.1210
Bayswater Main Drain,6162412,0.9668
Bayswater Main Drain,6162411,0.6912
Bayswater Main Drain,616082,0.5823
Bayswater Main Drain,6162410,0.4868
Belmont Central,6162202,1.2671
Belmont Central,6162201,0.9355
Belmont Central,6162992,0.8985
Belmont Central,6162200,0.7579
Belmont Central,616062,0.1422
Bennett Brook,616038,9.6773
Bennett Brook,616073,9.4161
Bennett Brook,6160763,7.9930
Bennett Brook,6160957,7.8223
Bennett Brook,6163896,7.2945
Bennett Brook,6163363,7.2571
Bennett Brook,6164308,6.6260
Bennett Brook,6163352,6.5278
Bennett Brook,6164305,6.4554
Bennett Brook,6164307,6.3319
Bennett Brook,6163353,6.2990
Bennett Brook,6164306,6.1115
Bennett Brook,6163359,6.0493
Bennett Brook,6163354,6.0171
Bennett Brook,6163362,5.9885
Bennett Brook,6160762,5.9039
Bennett Brook,6160761,5.7002
Bennett Brook,6160758,5.6114
Bennett Brook,6163360,5.1676
Bennett Brook,6163365,4.2851
Bennett Brook,6163361,4.1363
Bennett Brook,6163355,3.2415
Bennett Brook,6163366,3.0755
Bennett Brook,6163358,2.7309
Bennett Brook,6163356,2.3315
Bennett Brook,6163143,2.0741
Bennett Brook,6163367,1.8035
Bennett Brook,616084,1.7971
Blackadder Creek,6162925,2.6480
Bullcreek,6162377,7.6385
Bullcreek,6162376,5.1797
Bullcreek,6162375,4.3292
Bullcreek,6162519,4.1913
Bullcreek,6162373,4.1026
Bullcreek,6162520,3.5483
Bullcreek,6162379,3.5262
Bullcreek,6162374,3.2565
Bullcreek,6162370,3.1833
Bullcreek,6162178,2.8982
Bullcreek,6161685,2.4962
Bullcreek,6161686,1.6094
Bullcreek,6162311,0.6274
CBD,6162518,4.2879
CBD,6161310,2.4493
CBD,6163154,2.4396
CBD,6163302,1.9373
CBD,6163303,1.8944
CBD,6163301,1.8724
CBD,6163309,1.7612
CBD,6163307,1.6620
CBD,6163304,1.6291
CBD,6163305,1.5556
Claisebrook Main Drain,6163713,0.2172
Downstream,6162511,6.2673
Downstream,6162378,6.2384
Ellen Brook,617165,46.6239
Ellen Brook,6160720,46.4524
Ellen Brook,6160732,38.1972
Ellen Brook,6162404,34.7212
Ellen Brook,6160736,32.2252
Ellen Brook,6160734,30.0417
Ellen Brook,6160735,28.9591
Ellen Brook,6162397,27.8111
Ellen Brook,6160737,26.8858
Ellen Brook,6160738,25.1806
Ellen Brook,6160739,24.4739
Ellen Brook,6160740,23.6572
Ellen Brook,6160746,23.6112
Ellen Brook,6162399,23.0977
Ellen Brook,6162403,20.3561
Ellen Brook,6160747,18.1323
Ellen Brook,6160750,15.8721
Ellen Brook,6160752,14.6370
Ellen Brook,6160753,13.4614
Ellen Brook,6162398,11.1911
Ellen Brook,6160754,11.1643
Ellen Brook,6162628,10.4847
Ellen Brook,6162400,10.1883
Ellen Brook,6160755,4.8397
Ellen Brook,616189,4.8395
Ellen Brook,6162401,4.7988
Ellen Brook,6163982,4.5001
Ellen Brook,6162402,1.7664
Ellen Brook,6160756,1.5873
Ellen Brook,6164314,0.2660
Ellis Brook,616119,1.5027
Ellis Brook,6160690,1.1703
Helena River,616054,20.6402
Helena River,616003,19.0445
Helena River,6162481,13.2386
Helena River,616014,11.6851
Helena River,616168,11.0807
Helena River,616018,10.4154
Helena River,616086,4.1083
Helm Street,6162313,0.8678
Henley Brook,616077,1.4166
Henley Brook,6163625,1.1592
Henley Brook,6161692,0.6723
Jane Brook,616052,17.0133
Jane Brook,616053,16.2903
Jane Brook,616178,9.1669
Jane Brook,616088,1.1682
Lower Canning,616027,11.8929
Lower Canning,616117,11.2253
Lower Canning,6163119,2.9870
Lower Canning,6161836,2.1236
Lower Canning,6162312,2.0978
Lower Canning,6160195,1.4819
Lower Canning,6160198,1.3213
Lower Canning,6160199,1.2373
Lower Canning,616123,1.2343
Lower Canning,6163124,1.1101
Lower Canning,616137,0.8998
Lower Canning,6163414,0.8685
Lower Canning,616131,0.8480
Lower Canning,6164300,0.8009
Lower Canning,6164297,0.7757
Lower Canning,6164301,0.7520
Lower Canning,6164302,0.6877
Lower Canning,6164298,0.6522
Lower Canning,6164296,0.6039
Lower Canning,6164304,0.5824
Lower Canning,6163447,0.5289
Lower Canning,6163442,0.5259
Lower Canning,6164299,0.5209
Lower Canning,616135,0.5157
Lower Canning,6163105,0.5021
Lower Canning,6163441,0.4179
Lower Canning,6163455,0.1279
Lower Canning,616093,0.0949
Lower Canning,6162994,0.0907
Maylands,6161752,0.7270
Maylands,616045,0.4847
Millendon,616076,0.0967
Mills Street Main Drain,6162797,3.9248
Mills Street Main Drain,6162962,3.7877
Mills Street Main Drain,6162796,3.7494
Mills Street Main Drain,616043,0.6273
Mills Street Main Drain,616094,0.3729
Munday & Bickley Brook,616232,8.0479
Munday & Bickley Brook,6163802,5.8709
Munday & Bickley Brook,6162924,4.3150
Munday & Bickley Brook,6162278,2.6694
Munday & Bickley Brook,616047,1.4579
Perth Airport North,616015,6.2766
Perth Airport North,6163796,4.7980
Perth Airport North,6162318,0.9496
Perth Airport North,6162203,0.8846
Perth Airport North,6162204,0.6200
Perth Airport North,6162993,0.1848
Perth Airport South,6163798,6.7548
Perth Airport South,6162179,1.6140
Perth Airport South,6162180,1.5299
Perth Airport South,6162181,1.0341
Saint Leonards Creek,6162319,0.3568
South Belmont,6162991,3.6773
South Belmont,6162556,3.5330
South Belmont,616133,0.6944
South Belmont,6164462,0.4170
South Belmont,6162187,0.3415
South Belmont,616087,0.3291
South Perth,6162995,6.7091
South Perth,6162972,6.4553
South Perth,6160664,6.1496
South Perth,6162310,5.7211
Southern River,616118,16.7320
Southern River,616071,16.5427
Southern River,616153,15.8975
Southern River,6162557,11.6278
Southern River,6160130,10.2809
Southern River,616044,10.2117
Southern River,616140,7.3181
Southern River,6162558,6.5447
Southern River,616092,1.7896
Susannah Brook,616089,10.9174
Susannah Brook,6161013,10.7687
Susannah Brook,616040,9.4445
Susannah Brook,616099,0.5502
Upper Canning,616066,12.6361
Upper Canning,616031,8.9038
Upper Canning,616029,8.3880
Upper Canning,616116,5.7789
Upper Canning,616107,5.0373
Upper Canning,616108,3.5056
Upper Canning,616110,2.9796
Upper Canning,6161989,0.2479
Upper Swan,6160712,16.6628
Upper Swan,6162394,2.7610
Upper Swan,6161696,2.7581
Upper Swan,6162395,2.7241
Upper Swan,6162396,1.9460
Upper Swan,6162409,0.2008
Yule Brook,616028,10.8803
Yule Brook,616046,5.3474
Yule Brook,6163801,5.0160
Yule Brook,6163800,4.6955
Yule Brook,616042,1.7997
